concept_id,pft_string_search,fvc_fev_code,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
1198589,1,0,FEV1/FVC ratio abnormal,Measurement,MedDRA,PT,C,10081436,2018-09-01,2099-12-31,NA
1200473,1,0,FEV1/FVC ratio decreased,Measurement,MedDRA,PT,C,10081435,2018-09-01,2099-12-31,NA
3001668,0,1,Forced vital capacity [Volume] Respiratory system --post bronchodilation,Measurement,LOINC,Clinical Observation,S,19875-4,1999-01-25,2099-12-31,NA
3004424,1,0,FVC post bronchodilation measured/predicted,Measurement,LOINC,Clinical Observation,S,19873-9,1970-01-01,2099-12-31,NA
3005025,1,1,FEV1 --pre bronchodilation,Measurement,LOINC,Clinical Observation,S,20157-4,1970-01-01,2099-12-31,NA
3005600,1,0,FVC measured/predicted,Measurement,LOINC,Clinical Observation,S,19872-1,1999-01-25,2099-12-31,NA
3010855,1,0,Deprecated FEV1/Predicted by Calculation,Measurement,LOINC,Clinical Observation,NA,20151-7,2012-10-09,2012-10-10,U
3011505,1,0,FEV1/FVC,Measurement,LOINC,Clinical Observation,S,19926-5,1970-01-01,2099-12-31,NA
3011708,1,0,FEV1 measured/predicted,Measurement,LOINC,Clinical Observation,S,20152-5,1970-01-01,2099-12-31,NA
3013720,1,0,FEV1/FEV total,Measurement,LOINC,Clinical Observation,S,20153-3,1970-01-01,2099-12-31,NA
3019480,1,0,FEV1 Predicted --pre bronchodilation,Measurement,LOINC,Clinical Observation,S,20156-6,1970-01-01,2099-12-31,NA
3020076,1,0,FVC pre bronchodilation measured/predicted,Measurement,LOINC,Clinical Observation,S,19871-3,1970-01-01,2099-12-31,NA
3020158,0,1,Forced vital capacity [Volume] Respiratory system,Measurement,LOINC,Clinical Observation,S,19870-5,1999-01-25,2099-12-31,NA
3022830,1,0,FEV1 Predicted --post bronchodilation,Measurement,LOINC,Clinical Observation,S,20154-1,1970-01-01,2099-12-31,NA
3022891,1,0,FEV1 Predicted,Measurement,LOINC,Clinical Observation,S,20149-1,1970-01-01,2099-12-31,NA
3023550,1,1,FEV1 --post bronchodilation,Measurement,LOINC,Clinical Observation,S,20155-8,1970-01-01,2099-12-31,NA
3024594,1,0,FEV1/FVC Predicted,Measurement,LOINC,Clinical Observation,S,19925-7,1970-01-01,2099-12-31,NA
3024653,1,1,FEV1,Measurement,LOINC,Clinical Observation,S,20150-9,1970-01-01,2099-12-31,NA
3037879,0,1,Forced vital capacity [Volume] Respiratory system --pre bronchodilation,Measurement,LOINC,Clinical Observation,S,19877-0,1999-01-25,2099-12-31,NA
3043285,1,0,FEV1 --post 0.25 mg/mL methacholine,Measurement,LOINC,Clinical Observation,S,43259-1,1970-01-01,2099-12-31,NA
3043291,1,0,FEV1 --post 10 mg/mL methacholine,Measurement,LOINC,Clinical Observation,S,43258-3,1970-01-01,2099-12-31,NA
3043478,1,0,FEV1 --pre dose methacholine,Measurement,LOINC,Clinical Observation,S,43253-4,1970-01-01,2099-12-31,NA
3043574,1,0,FEV1 --Pre excercise,Measurement,LOINC,Clinical Observation,S,43254-2,1970-01-01,2099-12-31,NA
3044378,1,0,FEV1 --10 minutes post exercise,Measurement,LOINC,Clinical Observation,S,43263-3,1970-01-01,2099-12-31,NA
3045045,1,0,FEV1 --post dose methacholine,Measurement,LOINC,Clinical Observation,S,43255-9,1970-01-01,2099-12-31,NA
3046362,1,0,FEV1 --15 minutes post exercise,Measurement,LOINC,Clinical Observation,S,43262-5,1970-01-01,2099-12-31,NA
3046522,1,0,FEV1 --post 25 mg/mL methacholine,Measurement,LOINC,Clinical Observation,S,43256-7,1970-01-01,2099-12-31,NA
3046526,1,0,FEV1 --5 minutes post exercise,Measurement,LOINC,Clinical Observation,S,43261-7,1970-01-01,2099-12-31,NA
