drug_id,drug_name,drug_category
40003412,Acarbose Oral Tablet,DRUGS USED IN DIABETES
40003412,Acarbose Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40004923,Acetohexamide Oral Tablet,DRUGS USED IN DIABETES
40004923,Acetohexamide Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
43013885,alogliptin / Metformin Oral Tablet,DRUGS USED IN DIABETES
43013885,alogliptin / Metformin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
43013931,alogliptin Oral Tablet,DRUGS USED IN DIABETES
43013931,alogliptin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
43013888,alogliptin / pioglitazone Oral Tablet,DRUGS USED IN DIABETES
43013888,alogliptin / pioglitazone Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40096453,benfluorex Oral Tablet,DRUGS USED IN DIABETES
45774709,canagliflozin / Metformin Oral Tablet,DRUGS USED IN DIABETES
45774709,canagliflozin / Metformin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
43526474,canagliflozin Oral Tablet,DRUGS USED IN DIABETES
43526474,canagliflozin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40022442,Carbutamide Oral Tablet,DRUGS USED IN DIABETES
40030438,Chlorpropamide / Metformin Oral Tablet,DRUGS USED IN DIABETES
40030456,Chlorpropamide Oral Tablet,DRUGS USED IN DIABETES
40030456,Chlorpropamide Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40030439,Chlorpropamide / Phenformin Oral Tablet,DRUGS USED IN DIABETES
45775454,dapagliflozin / Metformin Extended Release Oral Tablet,DRUGS USED IN DIABETES
45775454,dapagliflozin / Metformin Extended Release Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
44785834,dapagliflozin Oral Tablet,DRUGS USED IN DIABETES
44785834,dapagliflozin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
45892171,empagliflozin / Linagliptin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
45892171,empagliflozin / Linagliptin Oral Tablet,DRUGS USED IN DIABETES
46287679,empagliflozin / Metformin Oral Tablet,DRUGS USED IN DIABETES
46287679,empagliflozin / Metformin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
45774753,empagliflozin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
45774753,empagliflozin Oral Tablet,DRUGS USED IN DIABETES
40059651,glibornuride Oral Tablet,DRUGS USED IN DIABETES
40044221,Gliclazide Extended Release Oral Tablet,DRUGS USED IN DIABETES
40044222,Gliclazide Oral Tablet,DRUGS USED IN DIABETES
40059665,glimepiride Oral Tablet,DRUGS USED IN DIABETES
40059665,glimepiride Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40135391,glimepiride / pioglitazone Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40135391,glimepiride / pioglitazone Oral Tablet,DRUGS USED IN DIABETES
40129534,glimepiride / rosiglitazone Oral Tablet,DRUGS USED IN DIABETES
40129534,glimepiride / rosiglitazone Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40139022,Glipizide Extended Release Oral Tablet,DRUGS USED IN DIABETES
40139022,Glipizide Extended Release Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40044224,Glipizide / Metformin Oral Tablet,DRUGS USED IN DIABETES
40044224,Glipizide / Metformin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40044251,Glipizide Oral Tablet,DRUGS USED IN DIABETES
40044251,Glipizide Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40059670,gliquidone Oral Tablet,DRUGS USED IN DIABETES
40046143,Glyburide / Metformin Oral Tablet,DRUGS USED IN DIABETES
40046143,Glyburide / Metformin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40046201,Glyburide Oral Tablet,DRUGS USED IN DIABETES
40046201,Glyburide Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40046145,Glyburide / Phenformin Oral Tablet,DRUGS USED IN DIABETES
40054308,glymidine Oral Tablet,DRUGS USED IN DIABETES
40159519,"insulin, isophane / Regular Insulin, Human Prefilled Syringe",DRUGS USED IN DIABETES
46233973,Insulin Lispro Cartridge,DRUGS USED IN DIABETES
42705857,Linagliptin / Metformin Oral Tablet,DRUGS USED IN DIABETES
42705857,Linagliptin / Metformin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40239221,Linagliptin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40239221,Linagliptin Oral Tablet,DRUGS USED IN DIABETES
40063350,Metformin Extended Release Oral Tablet,DRUGS USED IN DIABETES
40063350,Metformin Extended Release Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40063352,Metformin Oral Solution,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40063352,Metformin Oral Solution,DRUGS USED IN DIABETES
40063354,Metformin Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40063354,Metformin Oral Tablet,DRUGS USED IN DIABETES
40173226,Metformin / pioglitazone Extended Release Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40173226,Metformin / pioglitazone Extended Release Oral Tablet,DRUGS USED IN DIABETES
40126689,Metformin / pioglitazone Oral Tablet,DRUGS USED IN DIABETES
40126689,Metformin / pioglitazone Oral Tablet,"ORAL HYPOGLYCEMIC AGENTS,ORAL"
40153147,Metformin / repaglinide Oral Tablet,DRUGS USED IN DIABETES
