drug_id,drug_name,drug_category,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
40240669,indacaterol Inhalant Powder,ANTIASTHMA/BRONCHODILATORS,indacaterol Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,1114328,2011-07-31,2019-02-03,D
42800913,Isoproterenol Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,isoproterenol Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,1299671,2012-07-02,2099-12-31,NA
42873412,aclidinium Dry Powder Inhaler,ANTIASTHMA/BRONCHODILATORS,aclidinium Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,1303101,2012-08-06,2099-12-31,NA
43532281,fluticasone / vilanterol Dry Powder Inhaler,Corticosteroids,fluticasone / vilanterol Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,1424887,2013-07-01,2099-12-31,NA
43532281,fluticasone / vilanterol Dry Powder Inhaler,ANTIASTHMA/BRONCHODILATORS,fluticasone / vilanterol Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,1424887,2013-07-01,2099-12-31,NA
44785908,umeclidinium / vilanterol Dry Powder Inhaler,ANTIASTHMA/BRONCHODILATORS,umeclidinium / vilanterol Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,1487517,2014-03-03,2099-12-31,NA
44817882,Mometasone Metered Dose Inhaler,Corticosteroids,mometasone Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,1536141,2014-06-02,2099-12-31,NA
44817882,Mometasone Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,mometasone Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,S,1536141,2014-06-02,2099-12-31,NA
45774869,umeclidinium Dry Powder Inhaler,ANTIASTHMA/BRONCHODILATORS,umeclidinium Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,1539250,2014-12-01,2099-12-31,NA
45775117,olodaterol Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,olodaterol Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,NA,1546062,2014-12-01,2020-05-03,D
45774773,tiotropium Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,tiotropium Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,NA,1552001,2014-12-01,2020-05-03,D
46234463,Albuterol Dry Powder Inhaler,ANTIASTHMA/BRONCHODILATORS,albuterol Dry Powder Inhaler,Drug,RxNorm,Clinical Drug Form,S,1649559,2015-07-06,2099-12-31,NA
46275343,olodaterol / tiotropium Metered Dose Inhaler,ANTIASTHMA/BRONCHODILATORS,olodaterol / tiotropium Metered Dose Inhaler,Drug,RxNorm,Clinical Drug Form,NA,1658459,2015-09-08,2020-05-03,D
35605302,Glycopyrrolate Inhalant Powder,ANTIASTHMA/BRONCHODILATORS,Glycopyrrolate Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,1721302,2016-05-02,2019-02-03,D
35605531,Glycopyrrolate / indacaterol Inhalant Powder,ANTIASTHMA/BRONCHODILATORS,Glycopyrrolate / indacaterol Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,1721574,2016-05-02,2019-02-03,D
40058087,fluticasone Inhalant Solution,Corticosteroids,fluticasone Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,361833,1970-01-01,2019-02-03,D
40058083,fluticasone Inhalant Powder,Corticosteroids,fluticasone Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,361834,1970-01-01,2019-02-03,D
40006970,Albuterol Inhalant Solution,ANTIASTHMA/BRONCHODILATORS,Albuterol Inhalant Solution,Drug,RxNorm,Clinical Drug Form,NA,361842,1970-01-01,2019-02-03,D
40006965,Albuterol Inhalant Powder,ANTIASTHMA/BRONCHODILATORS,Albuterol Inhalant Powder,Drug,RxNorm,Clinical Drug Form,NA,370789,1970-01-01,2019-02-03,D
