drug_id,drug_name,drug_category
40004938,Acetoxolone Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40092301,alginic acid / Aluminum Hydroxide Chewable Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40133592,alginic acid / Aluminum Hydroxide / magnesium carbonate Oral Suspension,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40092302,alginic acid / Aluminum Hydroxide Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40092304,alginic acid / Calcium Carbonate Chewable Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40092303,alginic acid / Calcium Carbonate / magnesium carbonate Oral Suspension,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
42706997,alginic acid / Calcium Carbonate / magnesium trisilicate / Sodium Bicarbonate Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40092305,alginic acid / Carboxymethylcellulose Chewable Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40092331,alginic acid Chewable Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40122859,alginic acid / Cimetidine Oral Suspension,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40092307,alginic acid / magnesium carbonate Chewable Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40092308,alginic acid / magnesium carbonate Oral Suspension,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40092309,alginic acid / magnesium carbonate Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40133595,alginic acid Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40133594,alginic acid / potassium bicarbonate Oral Suspension,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40133593,alginic acid / Sodium Bicarbonate Oral Suspension,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40092306,alginic acid / Zinc Gluconate Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40007826,Aluminum Hydroxide / bismuth subnitrate / Magnesium Hydroxide Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40006230,Aluminum Hydroxide / Carbenoxolone Oral Suspension,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40013521,Benzocaine / bismuth subnitrate / Cerium oxalate Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40091987,bismuth subcitrate Chewable Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40139484,bismuth subcitrate / Metronidazole / Tetracycline Oral Capsule,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40091988,bismuth subcitrate Oral Capsule,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40091989,bismuth subcitrate Oral Solution,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40091991,bismuth subcitrate Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40097665,bismuth subnitrate / Calcium Carbonate / magnesium carbonate Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40097666,bismuth subnitrate / Cerium oxalate Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40097667,bismuth subnitrate / laureth-9 / Zinc Oxide Topical Ointment,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40019690,Calcium Carbonate / Famotidine / Magnesium Hydroxide Chewable Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40021268,Carbenoxolone Delayed Release Oral Capsule,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40021270,Carbenoxolone Mouthwash,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40021272,Carbenoxolone Oral Gel,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40021269,Carbenoxolone Oral Granules,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40021499,Carbenoxolone Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40027979,Cimetidine Chewable Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
44818070,Cimetidine Effervescent Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40027981,Cimetidine Extended Release Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40027984,Cimetidine Oral Capsule,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40027985,Cimetidine Oral Solution,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40027988,Cimetidine Oral Suspension,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40027990,Cimetidine Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40157151,dexlansoprazole Delayed Release Oral Capsule,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
35603674,dexlansoprazole Disintegrating Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40036613,Diclofenac / Misoprostol Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40031623,Domperidone / Ranitidine Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40128068,Esomeprazole Delayed Release Oral Capsule,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40041698,Esomeprazole Delayed Release Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
40182881,Esomeprazole / Naproxen Delayed Release Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
