drug_id,drug_name
46234040,"Insulin ,  Aspart ,  Human Cartridge ,  ,"
40051314,"Insulin ,  Aspart ,  Human Injectable Solution ,  ,"
46234046,"Insulin ,  Aspart ,  Human Pen Injector ,  ,"
40051007,"Insulin ,  Aspart Protamine ,  Human / Insulin ,  Aspart ,  Human Injectable Suspension"
46234052,"Insulin ,  Aspart Protamine ,  Human / Insulin ,  Aspart ,  Human Pen Injector"
40051353,"Insulin ,  Glulisine ,  Human Injectable Solution ,  ,"
46233875,"Insulin ,  Glulisine ,  Human Pen Injector ,  ,"
40052093,"Insulin ,  Prompt Zinc ,  Beef Injectable Suspension ,  ,"
40052099,"Insulin ,  Prompt Zinc ,  Beef-Pork Injectable Suspension ,  ,"
40052361,"Insulin ,  Prompt Zinc ,  Human / Insulin ,  Zinc ,  Human Injectable Suspension"
40051333,"Insulin ,  Prompt Zinc ,  Human / Ultralente Insulin ,  Human Injectable Suspension ,"
40052370,"Insulin ,  Prompt Zinc ,  Pork Injectable Suspension ,  ,"
40052389,"Insulin ,  Protamine Zinc ,  Beef-Pork Injectable Suspension ,  ,"
40052401,"Insulin ,  Protamine Zinc ,  Pork Injectable Suspension ,  ,"
40052410,"Insulin ,  Regular ,  Beef Injectable Solution ,  ,"
40052794,"Insulin ,  Regular ,  Pork Injectable Solution ,  ,"
40053113,"Insulin ,  Zinc ,  Human Injectable Suspension ,  ,"
40053128,"Insulin ,  Zinc ,  Pork Injectable Suspension ,  ,"
40056632,insulin detemir Injectable Solution
46234190,insulin detemir Pen Injector
40051347,Insulin Glargine Injectable Solution
46234097,Insulin Glargine Pen Injector
40052077,"Insulin Lispro / Insulin, Protamine Lispro, Human Injectable Suspension"
46234016,"Insulin Lispro / Insulin, Protamine Lispro, Human Pen Injector"
46233973,Insulin Lispro Cartridge
40052088,Insulin Lispro Injectable Solution
46233944,Insulin Lispro Pen Injector
40052050,"insulin, isophane / Insulin, Regular, Pork Injectable Suspension,"
40051377,"insulin, isophane / Regular Insulin, Human Injectable Suspension,,"
46234216,"insulin, isophane / Regular Insulin, Human Pen Injector,,"
40159519,"insulin, isophane / Regular Insulin, Human Prefilled Syringe,,"
40052382,"insulin, protamine zinc, beef Injectable Suspension,,"
40052422,"insulin, regular, beef-pork Inhalant Solution,,"
40052423,"insulin, regular, beef-pork Injectable Solution,,"
40052808,"Lente Insulin, Beef Injectable Suspension"
40052820,"Lente Insulin, Beef-Pork Injectable Suspension"
40078056,Pramlintide Injectable Solution
46276271,Pramlintide Pen Injector
40159688,"Regular Insulin, Human Prefilled Syringe"
45776620,"Regular Insulin, Human Inhalant Powder"
40052768,"Regular Insulin, Human Injectable Solution"
40089113,Tolbutamide Injectable Solution
40089115,Tolbutamide Oral Tablet
40099093,tolrestat Oral Capsule
40100066,troglitazone Oral Tablet
40051323,"Ultralente Insulin, Beef Injectable Suspension"
40051331,"Ultralente Insulin, Beef-Pork Injectable Suspension"
40051340,"Ultralente Insulin, Human Injectable Suspension"
46275422,albiglutide Pen Injector
,
