"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id"
3001657,"12227-5","Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood","LOINC","LC"
3010813,"26464-8","Leukocytes [#/volume] in Blood","LOINC","LC"
3046900,"33256-9","Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count","LOINC","LC"
3048433,"47281-1","Leukocytes [#/volume] in Cord blood","LOINC","LC"
3032393,"49498-9","Leukocytes [#/volume] in Blood by Estimate","LOINC","LC"
40769426,"66768-3","Leukocytes [#/volume] corrected for nucleated erythrocytes in Cord blood","LOINC","LC"
3000905,"6690-2","Leukocytes [#/volume] in Blood by Automated count","LOINC","LC"
3003282,"804-5","Leukocytes [#/volume] in Blood by Manual count","LOINC","LC"
37043992,"LP392599-9","Leukocytes | Blood | Hematology and Cell counts","LOINC","LC"
37061773,"LP392601-3","Leukocytes | Blood cord | Hematology and Cell counts","LOINC","LC"
40791229,"LP61587-9","Leukocytes | Blood cord","LOINC","LC"
1033737,"LP7720-8","White blood cells","LOINC","LC"
