"concept_id","concept_code","concept_name","vocabulary_id","pcornet_vocabulary_id"
3001582,"2890-2","Protein/Creatinine [Mass Ratio] in Urine","LOINC","LC"
3008392,"16285-9","Creatinine/Protein [Mass Ratio] in Urine","LOINC","LC"
3037791,"13801-6","Protein/Creatinine [Mass Ratio] in 24 hour Urine","LOINC","LC"
3038404,"40486-3","Protein/Creatinine [Ratio] in 24 hour Urine","LOINC","LC"
3045462,"34366-5","Protein/Creatinine [Ratio] in Urine","LOINC","LC"
37054642,"LP402535-1","Protein/Creatinine | Urine | Urinalysis","LOINC","LC"
37061530,"LP385378-7","Creatinine/Protein | Urine | Chemistry - non-challenge","LOINC","LC"
37078189,"LP384996-7","Protein/Creatinine | Urine | Chemistry - non-challenge","LOINC","LC"
40656422,"LG34791-0","Protein/Creatinine|MRto|Urine","LOINC","LC"
40656423,"LG36198-6","Protein/Creatinine|Ratio|Urine","LOINC","LC"
40763732,"60678-0","Protein/Creatinine [Mass Ratio] in 12 hour Urine","LOINC","LC"
