concept_id,concept_code,concept_name,vocabulary,codeset
36052919,OMOP4978033,1000 ML calcium chloride 0.134 MG/ML / glucose 50 MG/ML / lactate 1.59 MG/ML / potassium chloride 0.2 MG/ML / sodium chloride 3 MG/ML Injectable Solution,RxNorm Extension,iv_fluids
36052918,OMOP4978032,1000 ML calcium chloride 0.134 MG/ML / glucose 50 MG/ML / lactate 1.59 MG/ML / potassium chloride 0.2 MG/ML / sodium chloride 3 MG/ML Injectable Solution Box of 1,RxNorm Extension,iv_fluids
36052917,OMOP4978031,1000 ML calcium chloride 0.134 MG/ML / glucose 50 MG/ML / lactate 1.59 MG/ML / potassium chloride 0.2 MG/ML / sodium chloride 3 MG/ML Injectable Solution Box of 15,RxNorm Extension,iv_fluids
36052916,OMOP4978030,1000 ML calcium chloride 0.134 MG/ML / glucose 50 MG/ML / lactate 1.59 MG/ML / potassium chloride 0.2 MG/ML / sodium chloride 3 MG/ML Injectable Solution [Steriflex],RxNorm Extension,iv_fluids
36052915,OMOP4978028,1000 ML calcium chloride 0.134 MG/ML / glucose 50 MG/ML / lactate 1.59 MG/ML / potassium chloride 0.2 MG/ML / sodium chloride 3 MG/ML Injectable Solution [Steriflex] Box of 1,RxNorm Extension,iv_fluids
36052912,OMOP4978026,1000 ML calcium chloride 0.134 MG/ML / glucose 50 MG/ML / lactate 1.59 MG/ML / potassium chloride 0.2 MG/ML / sodium chloride 3 MG/ML Injectable Solution [Steriflex] Box of 15,RxNorm Extension,iv_fluids
36052911,OMOP4978025,1000 ML calcium chloride 0.134 MG/ML / glucose 50 MG/ML / lactate 1.59 MG/ML / potassium chloride 0.2 MG/ML / sodium chloride 3 MG/ML Injectable Solution [Steriflex] Box of 15 by Fresenius,RxNorm Extension,iv_fluids
36052913,OMOP4978027,1000 ML calcium chloride 0.134 MG/ML / glucose 50 MG/ML / lactate 1.59 MG/ML / potassium chloride 0.2 MG/ML / sodium chloride 3 MG/ML Injectable Solution [Steriflex] Box of 1 by Fresenius,RxNorm Extension,iv_fluids
36073595,OMOP4978029,1000 ML calcium chloride 0.134 MG/ML / glucose 50 MG/ML / lactate 1.59 MG/ML / potassium chloride 0.2 MG/ML / sodium chloride 3 MG/ML Injectable Solution [Steriflex] by Fresenius,RxNorm Extension,iv_fluids
40708257,OMOP4749424,1000 ML Calcium Chloride 0.134 MG/ML / Glucose 50 MG/ML / Lactate 1.5 MG/ML / Potassium Chloride 0.2 MG/ML / Sodium Chloride 3 MG/ML Injectable Solution,RxNorm Extension,iv_fluids
