"concept_id","concept_name","concept_code","vocabulary_id","pcornet_vocabulary_id"
45230162,"Captopril 25 MG / Hydrochlorothiazide 15 MG Oral Tablet","00003033805","NDC","ND"
45315485,"Captopril 25 MG / Hydrochlorothiazide 15 MG Oral Tablet [Capozide 25/15]","00003033810","NDC","ND"
45127396,"Captopril 25 MG / Hydrochlorothiazide 15 MG Oral Tablet [Capozide 25/15]","00003033830","NDC","ND"
45110605,"Captopril 25 MG / Hydrochlorothiazide 15 MG Oral Tablet [Capozide 25/15]","00003033850","NDC","ND"
45366455,"Captopril 25 MG / Hydrochlorothiazide 15 MG Oral Tablet [Capozide 25/15]","00003033892","NDC","ND"
45093581,"Captopril 25 MG / Hydrochlorothiazide 25 MG Oral Tablet","00003034905","NDC","ND"
45059586,"Captopril 25 MG / Hydrochlorothiazide 25 MG Oral Tablet [Capozide 25/25]","00003034950","NDC","ND"
45332415,"Captopril 50 MG / Hydrochlorothiazide 15 MG Oral Tablet","00003038405","NDC","ND"
45264333,"Captopril 50 MG / Hydrochlorothiazide 15 MG Oral Tablet [Capozide 50/15]","00003038450","NDC","ND"
45161526,"Captopril 50 MG / Hydrochlorothiazide 25 MG Oral Tablet","00003039005","NDC","ND"
45008192,"Captopril 50 MG / Hydrochlorothiazide 25 MG Oral Tablet [Capozide 50/25]","00003039046","NDC","ND"
45008193,"Captopril 50 MG / Hydrochlorothiazide 25 MG Oral Tablet [Capozide 50/25]","00003039050","NDC","ND"
45230163,"Captopril 50 MG / Hydrochlorothiazide 25 MG Oral Tablet [Capozide 50/25]","00003039092","NDC","ND"
44889268,"Captopril 12.5 MG Oral Tablet [Capoten]","00003045006","NDC","ND"
45093582,"Captopril 12.5 MG Oral Tablet","00003045011","NDC","ND"
44906496,"Captopril 12.5 MG Oral Tablet [Capoten]","00003045051","NDC","ND"
45247119,"Captopril 12.5 MG Oral Tablet [Capoten]","00003045054","NDC","ND"
45247120,"Captopril 12.5 MG Oral Tablet [Capoten]","00003045075","NDC","ND"
44991112,"Captopril 25 MG Oral Tablet","00003045210","NDC","ND"
45315489,"Captopril 25 MG Oral Tablet","00003045224","NDC","ND"
45230164,"Captopril 25 MG Oral Tablet [Capoten]","00003045239","NDC","ND"
44923439,"Captopril 25 MG Oral Tablet [Capoten]","00003045250","NDC","ND"
45144385,"Captopril 25 MG Oral Tablet [Capoten]","00003045251","NDC","ND"
45298471,"Captopril 25 MG Oral Tablet [Capoten]","00003045275","NDC","ND"
45161528,"Captopril 25 MG Oral Tablet [Capoten]","00003045294","NDC","ND"
45042465,"Captopril 25 MG Oral Tablet [Capoten]","00003045295","NDC","ND"
44940469,"Captopril 50 MG Oral Tablet [Capoten]","00003048206","NDC","ND"
45093583,"Captopril 50 MG Oral Tablet [Capoten]","00003048250","NDC","ND"
44906497,"Captopril 50 MG Oral Tablet [Capoten]","00003048251","NDC","ND"
