concept_id,concept_code,concept_name,codeset
4034964,237620003,Abnormal metabolic state due to diabetes mellitus,diabetes
42536400,735200002,Absence of lower limb due to diabetes mellitus,diabetes
4321756,9859006,Acanthosis nigricans due to type 2 diabetes mellitus,diabetes
36715571,721283000,Acidosis due to type 1 diabetes mellitus,diabetes
36717156,721284006,Acidosis due to type 2 diabetes mellitus,diabetes
42538715,762489000,Acute complication due to diabetes mellitus,diabetes
4105016,193183000,Acute painful diabetic neuropathy,diabetes
4105173,193350004,Advanced maculopathy due to diabetes mellitus,diabetes
4209538,311782002,Advanced retinal disease due to diabetes mellitus,diabetes
4307799,82980005,Anemia due to diabetes mellitus,diabetes
43531588,7.91E+11,Angina associated with type 2 diabetes mellitus,diabetes
45769891,8.7471E+13,Ankle ulcer due to type 1 diabetes mellitus,diabetes
45769888,8.7441E+13,Ankle ulcer due to type 2 diabetes mellitus,diabetes
37311453,792926007,Armanni-Ebstein kidney due to diabetes mellitus,diabetes
4196141,314903002,Arthropathy due to type 2 diabetes mellitus,diabetes
4044393,230576004,Asymmetric polyneuropathy due to diabetes mellitus,diabetes
4194970,79554005,Asymmetric proximal motor neuropathy due to diabetes mellitus,diabetes
4101892,193185007,Asymptomatic neuropathy due to diabetes mellitus,diabetes
36715051,720519003,"Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome",diabetes
36713275,5.30559E+17,Atypical diabetes mellitus,diabetes
4175440,50620007,Autonomic neuropathy due to diabetes mellitus,diabetes
37016767,712882000,Autonomic neuropathy due to type 1 diabetes mellitus,diabetes
37016768,712883005,Autonomic neuropathy due to type 2 diabetes mellitus,diabetes
35625724,768799003,Bilateral iritis due to diabetes mellitus,diabetes
45763585,6.0991E+13,Blindness due to type 1 diabetes mellitus,diabetes
45763582,6.0951E+13,Blindness due to type 2 diabetes mellitus,diabetes
4169240,48951005,Bullosis diabeticorum,diabetes
376979,43959009,Cataract due to diabetes mellitus,diabetes
4225656,421920002,Cataract due to diabetes mellitus type 1,diabetes
4221495,420756003,Cataract due to diabetes mellitus type 2,diabetes
35625718,768793002,Cataract of left eye due to diabetes mellitus,diabetes
35625717,768792007,Cataract of right eye due to diabetes mellitus,diabetes
4061725,200687002,Cellulitis of foot due to diabetes mellitus,diabetes
3656194,871778008,Centrally involved macular edema due to diabetes mellitus,diabetes
35626761,770094004,Cervical radiculoplexus neuropathy due to diabetes mellitus,diabetes
45773688,9.6441E+13,Chronic kidney disease due to type 1 diabetes mellitus,diabetes
43531578,7.71E+11,Chronic kidney disease due to type 2 diabetes mellitus,diabetes
45773576,9.0721E+13,Chronic kidney disease stage 1 due to type 1 diabetes mellitus,diabetes
43531559,7.51E+11,Chronic kidney disease stage 1 due to type 2 diabetes mellitus,diabetes
45769901,9.0731E+13,Chronic kidney disease stage 2 due to type 1 diabetes mellitus,diabetes
43531566,7.41E+11,Chronic kidney disease stage 2 due to type 2 diabetes mellitus,diabetes
45771075,9.0741E+13,Chronic kidney disease stage 3 due to type 1 diabetes mellitus,diabetes
43531653,7.31E+11,Chronic kidney disease stage 3 due to type 2 diabetes mellitus,diabetes
45769902,9.0751E+13,Chronic kidney disease stage 4 due to type 1 diabetes mellitus,diabetes
43531577,7.21E+11,Chronic kidney disease stage 4 due to type 2 diabetes mellitus,diabetes
45769903,9.0761E+13,Chronic kidney disease stage 5 due to type 1 diabetes mellitus,diabetes
43531562,7.11E+11,Chronic kidney disease stage 5 due to type 2 diabetes mellitus,diabetes
4105639,193184006,Chronic painful neuropathy due to diabetes mellitus,diabetes
4044392,230575000,Chronic painful polyneuropathy due to diabetes mellitus,diabetes
3655385,860980004,Chronic ulcer of left foot due to diabetes mellitus,diabetes
3655384,860979002,Chronic ulcer of right foot due to diabetes mellitus,diabetes
45769837,7.2141E+13,Chronic ulcer of skin due to type 1 diabetes mellitus,diabetes
35626764,770097006,Clinically significant macular edema due to diabetes mellitus,diabetes
35626072,769222008,Clinically significant macular edema of left eye due to diabetes mellitus,diabetes
35626071,769221001,Clinically significant macular edema of right eye due to diabetes mellitus,diabetes
443735,420662003,Coma due to diabetes mellitus,diabetes
4221933,420996007,Coma due to malnutrition-related diabetes mellitus,diabetes
442793,74627003,Complication due to diabetes mellitus,diabetes
761051,1.38811E+14,Complication due to secondary diabetes mellitus,diabetes
