label,ct
Abdominal hernia,30
Abdominal pain and other digestive/abdomen signs and symptoms,70
Abnormal findings related to substance use,7
Abnormal findings without diagnosis,186
Acquired absence of limb or organ,71
Acquired deformities (excluding foot),144
Acquired foot deformities,48
Acute and chronic tonsillitis,13
Acute and unspecified renal failure,8
Acute bronchitis,5
Acute hemorrhagic cerebrovascular disease,36
Acute myocardial infarction,17
Acute phlebitis; thrombophlebitis and thromboembolism,111
Acute posthemorrhagic anemia,1
Acute pulmonary embolism,6
Acute rheumatic heart disease,8
"Adverse effects of medical drugs, initial encounter",168
"Adverse effects of medical drugs, subsequent encounter",168
Alcohol-related disorders,49
Allergic reactions,65
"Allergic reactions, subsequent encounter",17
"Amputation of a limb, initial encounter",172
"Amputation of a limb, subsequent encounter",172
"Amputation of other body parts, initial encounter",23
"Amputation of other body parts, subsequent encounter",23
Anal and rectal conditions,32
Anesthesia complications during pregnancy,48
Antenatal screening,18
Anxiety and fear-related disorders,55
Aortic and peripheral arterial embolism or thrombosis,22
Aortic; peripheral; and visceral artery aneurysms,19
Aplastic anemia,26
Appendicitis and other appendiceal conditions,18
Arterial dissections,15
Aseptic necrosis and osteonecrosis,221
Aspiration pneumonitis,4
Asthma,18
"Atypical fracture, initial encounter",10
"Atypical fracture, subsequent encounter",40
Autoinflammatory syndromes,4
Bacterial infections,291
Benign neoplasms,270
Benign ovarian cyst,16
Biliary tract disease,61
Biomechanical lesions,91
Bipolar and related disorders,33
Birth trauma,44
Blindness and vision defects,137
Bone cancer,24
Breast cancer - all other types,63
Breast cancer - ductal carcinoma in situ (DCIS),3
"Burn and corrosion, initial encounter",936
"Burns and corrosion, subsequent encounter",824
Calculus of urinary tract,10
Cancer of other sites,11
Cannabis-related disorders,23
Cardiac and circulatory congenital anomalies,92
Cardiac arrest and ventricular fibrillation,18
Cardiac cancers,5
Cardiac dysrhythmias,19
Carrier status,23
Cataract and other lens disorders,119
Cerebral infarction,143
Cerebral palsy,7
Chromosomal abnormalities,69
Chronic kidney disease,8
Chronic obstructive pulmonary disease and bronchiectasis,15
Chronic phlebitis; thrombophlebitis and thromboembolism,61
Chronic rheumatic heart disease,27
Circulatory signs and symptoms,12
Cleft lip or palate,16
CNS abscess,4
Coagulation and hemorrhagic disorders,33
Coma; stupor; and brain damage,5
"Complication of cardiovascular device, implant or graft, initial encounter",99
"Complication of cardiovascular device, implant or graft, subsequent encounter",99
"Complication of genitourinary device, implant or graft, initial encounter",85
"Complication of genitourinary device, implant or graft, subsequent encounter",85
"Complication of internal orthopedic device or implant, initial encounter",121
"Complication of internal orthopedic device or implant, subsequent encounter",122
"Complication of other surgical or medical care, injury, initial encounter",252
"Complication of other surgical or medical care, injury, subsequent encounter",233
"Complication of transplanted organs or tissue, initial encounter",69
"Complication, sequelae",540
Complications following ectopic and/or molar pregnancy,11
Complications of acute myocardial infarction,10
Complications specified during childbirth,60
Complications specified during the puerperium,55
Conditions due to neoplasm or the treatment of neoplasm,6
Conduction disorders,24
"Congenital malformations of eye, ear, face, neck",62
Contact dermatitis,28
Contraceptive and procreative management,48
Cornea and external disease,768
Coronary atherosclerosis and other heart disease,52
Counseling related to sexual behavior or orientation,6
"Crushing injury, initial encounter",78
"Crushing injury, subsequent encounter",78
Crystal arthropathies (excluding gout),97
Cystic fibrosis,5
Depressive disorders,20
Diabetes mellitus with complication,453
Diabetes mellitus without complication,51
Digestive congenital anomalies,59
Diseases of inner ear and related conditions,80
Diseases of middle ear and mastoid (except otitis media),225
Diseases of mouth; excluding dental,52
Diseases of white blood cells,27
"Dislocations, initial encounter",550
"Dislocations, subsequent encounter",550
Disorders of jaw,28
Disorders of lipid metabolism,10
Disorders of teeth and gingiva,229
"Disruptive, impulse-control and conduct disorders",12
Diverticulosis and diverticulitis,16
Drug induced or toxic related condition,155
Dysphagia,6
"Early, first or unspecified trimester hemorrhage",35
Early or threatened labor,79
Ectopic pregnancy and complications of ectopic pregnancy,55
"Effect of foreign body entering opening, subsequent encounter",87
"Effect of other external causes, initial encounter",119
"Effect of other external causes, sequelae",191
"Effect of other external causes, subsequent encounter",162
Encephalitis,11
Encounter for administrative purposes,14
Encounter for antineoplastic therapies,3
Encounter for mental health conditions,5
Encounter for mental health services related to abuse,8
"Encounter for observation and examination for conditions ruled out (excludes infectious disease, neoplasm, mental disorders)",57
Encounter for prophylactic measures (excludes immunization),7
Encounter for prophylactic or other procedures,14
Endocarditis and endocardial disease,13
Endocrine system cancers - adrenocortical,3
Endocrine system cancers - all other types,12
Endocrine system cancers - pancreas,8
Endocrine system cancers - parathyroid,1
Endocrine system cancers - pituitary gland,1
Endocrine system cancers - thymus,1
Endocrine system cancers - thyroid,2
Endometriosis,9
Epilepsy; convulsions,51
Erectile dysfunction,15
Esophageal disorders,22
Essential hypertension,19
"Exposure, encounters, screening or contact with infectious disease",33
External cause codes: activity codes,112
External cause codes: bites; initial encounter,157
"External cause codes: complications of medical and surgical care, initial encounter",115
External cause codes: cut/pierce; initial encounter,50
External cause codes: drowning/submersion; initial encounter,48
External cause codes: evidence of alcohol involvement,10
External cause codes: fall; initial encounter,97
External cause codes: firearm; initial encounter,61
External cause codes: fire/burn; initial encounter,112
"External cause codes: intent of injury, accidental/unintentional",1
"External cause codes: intent of injury, assault",2
"External cause codes: intent of injury, legal intervention/war",4
External cause codes: machinery; initial encounter,18
External cause codes: motor vehicle traffic (MVT); initial encounter,449
External cause codes: natural/environment; initial encounter,140
"External cause codes: other specified, classifiable and NEC; initial encounter",365
External cause codes: overexertion; initial encounter,10
External cause codes: pedal cyclist; not MVT; initial encounter,60
External cause codes: pedestrian; not MVT; initial encounter,54
External cause codes: place of occurrence of the external cause,209
External cause codes: poisoning by drug,684
External cause codes: poisoning by non-drug,383
External cause codes: sequelae,2142
External cause codes: struck by; against; initial encounter,93
External cause codes: subsequent encounter,2142
External cause codes: suffocation/inhalation; initial encounter,61
External cause codes: transport; not MVT; initial encounter,680
External cause codes: unspecified mechanism,2
Feeding and eating disorders,12
Female infertility,5
Female reproductive system cancers - all other types,18
Female reproductive system cancers - cervix,8
Female reproductive system cancers - endometrium,2
Female reproductive system cancers - fallopian tube,3
Female reproductive system cancers - ovary,3
Female reproductive system cancers - uterus,6
Female reproductive system cancers - vagina,2
Female reproductive system cancers - vulva,2
Fetal alcohol syndrome,1
Fever,5
Fluid and electrolyte disorders,14
Foodborne intoxications,9
"Fracture of head and neck, initial encounter",151
"Fracture of head and neck, subsequent encounter",226
"Fracture of lower limb (except hip), subsequent encounter",4696
"Fracture of the lower limb (except hip), initial encounter",1429
"Fracture of the neck of the femur (hip), initial encounter",209
"Fracture of the neck of the femur (hip), subsequent encounter",830
"Fracture of the spine and back, initial encounter",329
"Fracture of the spine and back, subsequent encounter",493
"Fracture of the upper limb, initial encounter",1555
"Fracture of the upper limb, subsequent encounter",4348
"Fracture of torso, initial encounter",210
"Fracture of torso, subsequent encounter",315
Fungal infections,93
Gangrene,24
Gastritis and duodenitis,18
Gastroduodenal ulcer,20
