cluster,icd10_code,icd10_name
Emotional Abuse,T74.3,Psychological abuse
Emotional Abuse,Z62.3,Hostility towards and scapegoating of child
Neglect,T74.0,Neglect or abandonment
Neglect,Y06,Neglect and abandonment
Neglect,Y06.0,Neglect and abandonment by spouse or partner
Neglect,Y06.1,Neglect and abandonment by parent
Neglect,Y06.2,Neglect and abandonment by acquaintance or friend
Neglect,Y06.8,Neglect and abandonment by other specified persons
Neglect,Y06.9,Neglect and abandonment by unspecified person
Physical Abuse,T74.1,Physical abuse
Sexual Abuse,T74.2,Sexual abuse
Anxiety Disorder,F06.4,Organic anxiety disorder
Anxiety Disorder,F13.0,"Mental and behavioural disorders due to use of sedatives or hypnotics, acute intoxication"
Anxiety Disorder,F13.1,"Mental and behavioural disorders due to use of sedatives or hypnotics, harmful use"
Anxiety Disorder,F13.2,"Mental and behavioural disorders due to use of sedatives or hypnotics, dependence syndrome"
Anxiety Disorder,F13.3,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state"
Anxiety Disorder,F13.5,"Mental and behavioural disorders due to use of sedatives or hypnotics, psychotic disorder"
Anxiety Disorder,F13.7,"Mental and behavioural disorders due to use of sedatives or hypnotics, residual and late-onset psychotic disorder"
Anxiety Disorder,F13.8,"Mental and behavioural disorders due to use of sedatives or hypnotics, other mental and behavioural disorders"
Anxiety Disorder,F13.9,"Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder"
Anxiety Disorder,F40,Phobic anxiety disorders
Anxiety Disorder,F40.0,Agoraphobia
Anxiety Disorder,F40.1,Social phobias
Anxiety Disorder,F40.2,Specific (isolated) phobias
Anxiety Disorder,F40.8,Other phobic anxiety disorders
Anxiety Disorder,F40.9,"Phobic anxiety disorder, unspecified"
Anxiety Disorder,F41,Other anxiety disorders
Anxiety Disorder,F41.0,Panic disorder [episodic paroxysmal anxiety]
Anxiety Disorder,F41.1,Generalized anxiety disorder
Anxiety Disorder,F41.3,Other mixed anxiety disorders
Anxiety Disorder,F41.8,Other specified anxiety disorders
Anxiety Disorder,F41.9,"Anxiety disorder, unspecified"
Anxiety Disorder,F48,Other neurotic disorders
Anxiety Disorder,F48.0,Neurasthenia
Anxiety Disorder,F48.8,Other specified neurotic disorders
Anxiety Disorder,F48.9,"Neurotic disorder, unspecified"
Anxiety Disorder,F93.0,Separation anxiety disorder of childhood
Anxiety Disorder,F93.1,Phobic anxiety disorder of childhood
Anxiety Disorder,F93.2,Social anxiety disorder of childhood
Anxiety Disorder,F94,Disorders of social functioning with onset specific to childhood and adolescence
Anxiety Disorder,F94.0,Elective mutism
Anxiety Disorder,R45.1,Restlessness and agitation
OCD,F42,Obsessive-compulsive disorder
OCD,F42.2,Mixed obsessional thoughts and acts
OCD,F42.8,Other obsessive-compulsive disorders
OCD,F42.9,"Obsessive-compulsive disorder, unspecified"
OCD,F63.3,Trichotillomania
OCD,F98.6,Cluttering
Somatoform Disorder,E05.4,Thyrotoxicosis factitia
Somatoform Disorder,F06.5,Organic dissociative disorder
Somatoform Disorder,F44,Dissociative [conversion] disorders
Somatoform Disorder,F44.0,Dissociative amnesia
Somatoform Disorder,F44.1,Dissociative fugue
Somatoform Disorder,F44.3,Trance and possession disorders
Somatoform Disorder,F44.4,Dissociative motor disorders
Somatoform Disorder,F44.5,Dissociative convulsions
Somatoform Disorder,F44.7,Mixed dissociative [conversion] disorders
Somatoform Disorder,F44.8,Other dissociative [conversion] disorders
Somatoform Disorder,F44.9,"Dissociative [conversion] disorder, unspecified"
Somatoform Disorder,F45,Somatoform disorders
Somatoform Disorder,F45.0,Somatization disorder
Somatoform Disorder,F45.1,Undifferentiated somatoform disorder
Somatoform Disorder,F45.2,Hypochondriacal disorder
Somatoform Disorder,F45.3,Somatoform autonomic dysfunction
Somatoform Disorder,F45.4,Persistent somatoform pain disorder
Somatoform Disorder,F45.8,Other somatoform disorders
Somatoform Disorder,F45.9,"Somatoform disorder, unspecified"
Somatoform Disorder,F52.5,Nonorganic vaginismus
Somatoform Disorder,F52.6,Nonorganic dyspareunia
Somatoform Disorder,F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere
Somatoform Disorder,F68.0,Elaboration of physical symptoms for psychological reasons
Somatoform Disorder,F68.1,"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]"
Somatoform Disorder,G44.2,Tension-type headache
Somatoform Disorder,L98.1,Factitial dermatitis
Somatoform Disorder,R41,Other symptoms and signs involving cognitive functions and awareness
Somatoform Disorder,R41.8,Other and unspecified symptoms and signs involving cognitive functions and awareness
Somatoform Disorder,R63.1,Polydipsia
Stress Disorder,F43,"Reaction to severe stress, and adjustment disorders"
Stress Disorder,F43.0,Acute stress reaction
Stress Disorder,F43.1,Post-traumatic stress disorder
Stress Disorder,F43.2,Adjustment disorders
Stress Disorder,F43.8,Other reactions to severe stress
Stress Disorder,F43.9,"Reaction to severe stress, unspecified"
Stress Disorder,F44.2,Dissociative stupor
Stress Disorder,F44.6,Dissociative anaesthesia and sensory loss
Stress Disorder,F48.1,Depersonalization-derealization syndrome
Stress Disorder,F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors
Stress Disorder,F93,Emotional disorders with onset specific to childhood
Stress Disorder,F93.3,Sibling rivalry disorder
Stress Disorder,F93.8,Other childhood emotional disorders
Stress Disorder,F93.9,"Childhood emotional disorder, unspecified"
Stress Disorder,F94.1,Reactive attachment disorder of childhood
Stress Disorder,F94.2,Disinhibited attachment disorder of childhood
Stress Disorder,F94.8,Other childhood disorders of social functioning
Stress Disorder,F94.9,"Childhood disorder of social functioning, unspecified"
Stress Disorder,F98.8,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Stress Disorder,F98.9,Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Stress Disorder,Z73.0,Burn-out
Conduct Disorder,F90.1,Hyperkinetic conduct disorder
Conduct Disorder,F91,Conduct disorders
Conduct Disorder,F91.0,Conduct disorder confined to the family context
Conduct Disorder,F91.1,Unsocialized conduct disorder
Conduct Disorder,F91.2,Socialized conduct disorder
Conduct Disorder,F91.8,Other conduct disorders
Conduct Disorder,F91.9,"Conduct disorder, unspecified"
Conduct Disorder,F92,Mixed disorders of conduct and emotions
Conduct Disorder,F92.8,Other mixed disorders of conduct and emotions
Conduct Disorder,F92.9,"Mixed disorder of conduct and emotions, unspecified"
Impulse Control Disorder,F06.6,Organic emotionally labile [asthenic] disorder
Impulse Control Disorder,F63,Habit and impulse disorders
Impulse Control Disorder,F63.0,Pathological gambling
Impulse Control Disorder,F63.1,Pathological fire-setting [pyromania]
Impulse Control Disorder,F63.2,Pathological stealing [kleptomania]
