concept_id,concept_name,sub_cluster,concept_code,vocabulary_id,cluster,syndromic,systemic,clinician_interest,cluster_category,chronic_flag,
1568367,Narcolepsy and cataplexy,narcolepsy-cataplexy,G47.4,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45538123,Narcolepsy,narcolepsy-cataplexy,G47.41,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45586297,Narcolepsy with cataplexy,narcolepsy-cataplexy,G47.411,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45605559,Narcolepsy without cataplexy,narcolepsy-cataplexy,G47.419,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
1568368,Narcolepsy in conditions classified elsewhere,narcolepsy-cataplexy,G47.42,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45576592,Narcolepsy in conditions classified elsewhere with cataplexy,narcolepsy-cataplexy,G47.421,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45547744,Narcolepsy in conditions classified elsewhere without cataplexy,narcolepsy-cataplexy,G47.429,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
1568243,Insomnia not due to a substance or known physiological condition,non-organic_sleep_disorder,F51.0,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45600753,Primary insomnia,non-organic_sleep_disorder,F51.01,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45566847,Adjustment insomnia,non-organic_sleep_disorder,F51.02,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45538071,Paradoxical insomnia,non-organic_sleep_disorder,F51.03,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45562054,Psychophysiologic insomnia,non-organic_sleep_disorder,F51.04,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45562055,Insomnia due to other mental disorder,non-organic_sleep_disorder,F51.05,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45566848,Other insomnia not due to a substance or known physiological condition,non-organic_sleep_disorder,F51.09,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
1568244,Hypersomnia not due to a substance or known physiological condition,non-organic_sleep_disorder,F51.1,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45571766,Primary hypersomnia,non-organic_sleep_disorder,F51.11,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45595911,Insufficient sleep syndrome,non-organic_sleep_disorder,F51.12,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45566849,Hypersomnia due to other mental disorder,non-organic_sleep_disorder,F51.13,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45605502,Other hypersomnia not due to a substance or known physiological condition,non-organic_sleep_disorder,F51.19,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
35207196,Sleepwalking [somnambulism],non-organic_sleep_disorder,F51.3,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
35207197,Sleep terrors [night terrors],non-organic_sleep_disorder,F51.4,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
35207198,Nightmare disorder,non-organic_sleep_disorder,F51.5,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
35207199,Other sleep disorders not due to a substance or known physiological condition,non-organic_sleep_disorder,F51.8,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
35207200,"Sleep disorder not due to a substance or known physiological condition, unspecified",non-organic_sleep_disorder,F51.9,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
1568366,Sleep apnea,sleep_apnea,G47.3,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45562095,"Sleep apnea, unspecified",sleep_apnea,G47.30,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45581498,Primary central sleep apnea,sleep_apnea,G47.31,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45571812,High altitude periodic breathing,sleep_apnea,G47.32,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45552539,Obstructive sleep apnea (adult) (pediatric),sleep_apnea,G47.33,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45605558,Idiopathic sleep related nonobstructive alveolar hypoventilation,sleep_apnea,G47.34,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45595947,Congenital central alveolar hypoventilation syndrome,sleep_apnea,G47.35,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45581499,Sleep related hypoventilation in conditions classified elsewhere,sleep_apnea,G47.36,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
45576591,Central sleep apnea in conditions classified elsewhere,sleep_apnea,G47.37,ICD10CM,sleep-wake disorders,1,0,clinician,Neurodevelopment,Y,
