concept_id,concept_name,concept_code
4084643,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND abnormal insulin receptors",24203005
4049063,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND autoantibodies to the insulin receptors",20678000
4307509,Hyperinsulinism,83469008
4311629,Impaired glucose tolerance,9414007
4263688,Impaired glucose tolerance associated with drugs,60634005
4047260,Impaired glucose tolerance associated with genetic syndrome,1310004
4251180,Impaired glucose tolerance associated with hormonal etiology,73480000
4229140,Impaired glucose tolerance associated with insulin receptor abnormality,88512005
4045297,Impaired glucose tolerance in obese,22910008
4027550,Impaired glucose tolerance with hyperinsulism,128264007
436940,Metabolic syndrome X,237602007
4096674,Self-induced hyperinsulinemia,190429008
