concept_id,concept_name,concept_code,vocabulary_id,syndromic,systemic,condition_category
45533869,Myositis,M60,ICD10,0,1,constitutional_musculoskeletal
1570707,Myositis,M60,ICD10CM,0,1,constitutional_musculoskeletal
45582177,Infective myositis,M60.0,ICD10,0,1,constitutional_musculoskeletal
1570708,Infective myositis,M60.0,ICD10CM,0,1,constitutional_musculoskeletal
1570709,"Infective myositis, unspecified site",M60.00,ICD10CM,0,1,constitutional_musculoskeletal
42617916,"Infective myositis, multiple sites",M60.00,ICD10,0,1,constitutional_musculoskeletal
45586995,"Infective myositis, unspecified right arm",M60.000,ICD10CM,0,1,constitutional_musculoskeletal
45548445,"Infective myositis, unspecified left arm",M60.001,ICD10CM,0,1,constitutional_musculoskeletal
45567581,"Infective myositis, unspecified arm",M60.002,ICD10CM,0,1,constitutional_musculoskeletal
45606248,"Infective myositis, unspecified right leg",M60.003,ICD10CM,0,1,constitutional_musculoskeletal
45557904,"Infective myositis, unspecified left leg",M60.004,ICD10CM,0,1,constitutional_musculoskeletal
45538792,"Infective myositis, unspecified leg",M60.005,ICD10CM,0,1,constitutional_musculoskeletal
45567582,"Infective myositis, unspecified site",M60.009,ICD10CM,0,1,constitutional_musculoskeletal
1570710,"Infective myositis, shoulder",M60.01,ICD10CM,0,1,constitutional_musculoskeletal
42617917,"Infective myositis, shoulder region",M60.01,ICD10,0,1,constitutional_musculoskeletal
45596596,"Infective myositis, right shoulder",M60.011,ICD10CM,0,1,constitutional_musculoskeletal
45577288,"Infective myositis, left shoulder",M60.012,ICD10CM,0,1,constitutional_musculoskeletal
45543614,"Infective myositis, unspecified shoulder",M60.019,ICD10CM,0,1,constitutional_musculoskeletal
1570711,"Infective myositis, upper arm",M60.02,ICD10CM,0,1,constitutional_musculoskeletal
42617918,"Infective myositis, upper arm",M60.02,ICD10,0,1,constitutional_musculoskeletal
45577289,"Infective myositis, right upper arm",M60.021,ICD10CM,0,1,constitutional_musculoskeletal
45567583,"Infective myositis, left upper arm",M60.022,ICD10CM,0,1,constitutional_musculoskeletal
45596597,"Infective myositis, unspecified upper arm",M60.029,ICD10CM,0,1,constitutional_musculoskeletal
42617919,"Infective myositis, forearm",M60.03,ICD10,0,1,constitutional_musculoskeletal
1570712,"Infective myositis, forearm",M60.03,ICD10CM,0,1,constitutional_musculoskeletal
45606249,"Infective myositis, right forearm",M60.031,ICD10CM,0,1,constitutional_musculoskeletal
45557905,"Infective myositis, left forearm",M60.032,ICD10CM,0,1,constitutional_musculoskeletal
45606250,"Infective myositis, unspecified forearm",M60.039,ICD10CM,0,1,constitutional_musculoskeletal
42617920,"Infective myositis, hand",M60.04,ICD10,0,1,constitutional_musculoskeletal
1570713,"Infective myositis, hand and fingers",M60.04,ICD10CM,0,1,constitutional_musculoskeletal
45577290,"Infective myositis, right hand",M60.041,ICD10CM,0,1,constitutional_musculoskeletal
45543615,"Infective myositis, left hand",M60.042,ICD10CM,0,1,constitutional_musculoskeletal
45562751,"Infective myositis, unspecified hand",M60.043,ICD10CM,0,1,constitutional_musculoskeletal
45596598,"Infective myositis, right finger(s)",M60.044,ICD10CM,0,1,constitutional_musculoskeletal
45591868,"Infective myositis, left finger(s)",M60.045,ICD10CM,0,1,constitutional_musculoskeletal
45591869,"Infective myositis, unspecified finger(s)",M60.046,ICD10CM,0,1,constitutional_musculoskeletal
1570714,"Infective myositis, thigh",M60.05,ICD10CM,0,1,constitutional_musculoskeletal
42617921,"Infective myositis, pelvic region and thigh",M60.05,ICD10,0,1,constitutional_musculoskeletal
45538793,"Infective myositis, right thigh",M60.051,ICD10CM,0,1,constitutional_musculoskeletal
45596599,"Infective myositis, left thigh",M60.052,ICD10CM,0,1,constitutional_musculoskeletal
45562752,"Infective myositis, unspecified thigh",M60.059,ICD10CM,0,1,constitutional_musculoskeletal
42617922,"Infective myositis, lower leg",M60.06,ICD10,0,1,constitutional_musculoskeletal
1570715,"Infective myositis, lower leg",M60.06,ICD10CM,0,1,constitutional_musculoskeletal
45557906,"Infective myositis, right lower leg",M60.061,ICD10CM,0,1,constitutional_musculoskeletal
45577291,"Infective myositis, left lower leg",M60.062,ICD10CM,0,1,constitutional_musculoskeletal
45577292,"Infective myositis, unspecified lower leg",M60.069,ICD10CM,0,1,constitutional_musculoskeletal
1570716,"Infective myositis, ankle, foot and toes",M60.07,ICD10CM,0,1,constitutional_musculoskeletal
42617923,"Infective myositis, ankle and foot",M60.07,ICD10,0,1,constitutional_musculoskeletal
45553208,"Infective myositis, right ankle",M60.070,ICD10CM,0,1,constitutional_musculoskeletal
45538794,"Infective myositis, left ankle",M60.071,ICD10CM,0,1,constitutional_musculoskeletal
