concept_id,concept_name,concept_code
436945,"Single major depressive episode, mild",191601008
437837,"Single major depressive episode, moderate",191602001
439259,"Single major depressive episode, severe, with psychosis",191604000
433750,"Single major depressive episode, in full remission",191606003
432284,Single major depressive episode,268620009
440075,"Recurrent major depressive episodes, in full remission",191615005
438998,"Recurrent major depressive episodes, mild",191610000
436945,"Single major depressive episode, mild",191601008
4181807,"Major depressive disorder, single episode with atypical features",42925002
4067409,"Severe major depression, single episode, with psychotic features, mood-incongruent",20250007
4031328,"Chronic major depressive disorder, single episode",14183003
4093584,"Major depressive disorder, single episode with postpartum onset",25922000
4025677,Single episode of major depression in full remission,19527009
42872411,"Severe major depression, single episode",2.51E+11
4049623,"Moderate major depression, single episode",15639000
4282096,"Major depression, single episode",36923009
4092238,Depression worse in morning,247801000
40546087,Depressed mood,366979004
4084699,Anxiety about body function or health,247808006
437837,"Single major depressive episode, moderate",191602001
4067409,"Severe major depression, single episode, with psychotic features, mood-incongruent",20250007
438406,"Severe major depression, single episode, with psychotic features",430852001
438998,"Recurrent major depressive episodes, mild",191610000
432883,"Recurrent major depressive episodes, moderate",191611001
434911,"Recurrent major depressive episodes, severe, with psychosis",191613003
440075,"Recurrent major depressive episodes, in full remission",191615005
432285,Recurrent major depressive episodes,268621008
4181807,"Major depressive disorder, single episode with atypical features",42925002
438727,Atypical depressive disorder,191659001
432883,"Recurrent major depressive episodes, moderate",191611001
433750,"Single major depressive episode, in full remission",191606003
434911,"Recurrent major depressive episodes, severe, with psychosis",191613003
4038252,O/E - depressed,162722001
4263748,Recurrent major depression in full remission,46244001
438998,"Recurrent major depressive episodes, mild",191610000
42872722,Severe major depression,450714000
4154309,Severe recurrent major depression with psychotic features,28475009
4269143,Mild mood disorder,36622002
4149320,Mild depression,310495003
4154391,"Major depression, melancholic type",320751009
4103574,Chronic depression,192080009
4025677,Single episode of major depression in full remission,19527009
4168858,Endogenous depression - recurrent,274948002
4114950,Endogenous depression,300706003
4149321,Severe depression,310497006
4144233,"Severe major depression with psychotic features, mood-congruent",33736005
4049623,"Moderate major depression, single episode",15639000
44782720,Severe seasonal affective disorder,1.33121E+14
4096229,Early onset dysthymia,2506003
432285,Recurrent major depressive episodes,268621008
4077577,Moderate recurrent major depression,18818009
4226155,Recurrent brief depressive disorder,40568001
4175329,Organic mood disorder of depressed type,42594001
44794371,[X]Severe depressive episode with psychotic symptoms,3.97711E+14
436945,"Single major depressive episode, mild",191601008
45757196,Major depressive disorder in mother complicating pregnancy,1.08112E+16
4181807,"Major depressive disorder, single episode with atypical features",42925002
4093584,"Major depressive disorder, single episode with postpartum onset",25922000
440075,"Recurrent major depressive episodes, in full remission",191615005
4263770,Secondary dysthymia late onset,36170009
44795104,[X] Single episode major depression without psychotic symptoms,4.01211E+14
4092239,Seasonal affective disorder,247803002
438406,"Severe major depression, single episode, with psychotic features",430852001
432883,"Recurrent major depressive episodes, moderate",191611001
4304140,Recurrent major depressive disorder with atypical features,38694004
4243308,Primary dysthymia early onset,38451003
439259,"Single major depressive episode, severe, with psychosis",191604000
4141454,Recurrent major depression in partial remission,33135002
435220,Severe recurrent major depression without psychotic features,36474008
44797421,[X]Mild depressive episode,4.30421E+14
42872411,"Severe major depression, single episode",2.51E+11
432284,Single major depressive episode,268620009
4282096,"Major depression, single episode",36923009
433750,"Single major depressive episode, in full remission",191606003
4141292,"Severe recurrent major depression with psychotic features, mood-congruent",33078009
44794370,[X]Severe depressive episode without psychotic symptoms,3.97701E+14
4094358,Chronic recurrent major depressive disorder,2618002
4228802,Mild recurrent major depression,40379007
4333687,Depressive conduct disorder,231542000
4150047,Secondary dysthymia early onset,3109008
4151170,Moderate depression,310496002
4220023,Recurrent major depressive disorder with catatonic features,39809009
4057218,Late onset dysthymia,19694002
4205471,Recurrent major depressive disorder with melancholic features,319768000
4152280,Major depressive disorder,370143000
4244690,Mood disorder in full remission,38547003
437837,"Single major depressive episode, moderate",191602001
4031328,"Chronic major depressive disorder, single episode",14183003
434911,"Recurrent major depressive episodes, severe, with psychosis",191613003
44800606,[X]Moderate depressive episode,4.65441E+14
4148630,Major depression in partial remission,30605009
440383,Depressive disorder,35489007
4098302,Recurrent depression,191616006
4174987,Minor depressive disorder,48589009
4176002,Major depression in remission,42810003
4132144,Severe mood disorder with psychotic features,26516009
4067409,"Severe major depression, single episode, with psychotic features, mood-incongruent",20250007
4034842,"Severe recurrent major depression with psychotic features, mood-incongruent",15193003
43531624,Severe recurrent major depression,2.81E+11
444100,Mood disorder,46206005
438727,Atypical depressive disorder,191659001
