concept_id,concept_name,concept_code
133551,Vesicular eczema of hands and/or feet,402567004
133834,Atopic dermatitis,24079001
133835,Eczema,43116000
136495,Lichenification and lichen simplex chronicus,201020007
137792,Eczema herpeticum,186535001
140172,Erythematosquamous dermatosis,54792008
437557,Eczematous dermatitis of eyelid,36259009
4002519,Acute infantile eczema,11011007
4009501,Psoriasiform napkin eruption,111188005
4030844,Eczema vaccinatum,238368001
4030993,Friction palmar eczema,238473008
4031010,Hand eczema,238539001
4031012,Atopic dermatitis of hands,238541000
4031013,Photoaggravated atopic dermatitis,238548006
4031014,Hyperkeratotic eczema of hands and feet,238551004
4031015,Discoid eczema of hands and feet,238552006
4031016,Constitutional eczema of hands,238553001
4031017,Chronic podopompholyx,238561006
4031135,Brocq's neurodermatitis,238585003
4031137,Disseminated secondary eczema,238591001
4031138,Desiccation eczema,238594009
4031630,Inverse pattern atopic dermatitis,238542007
4031631,Discoid atopic dermatitis,238543002
4031633,Hyperkeratotic eczema of palms,238556009
4031634,Constitutional eczema of feet,238559002
4031635,Hyperkeratotic eczema of soles,238562004
4031640,Occupational allergic contact dermatitis,238578002
4031643,Juvenile plantar dermatosis,238590000
4031644,Chronic superficial scaly dermatitis,238592008
4031647,Psoriasis-eczema overlap condition,238602009
4031648,Eczematized psoriasis,238603004
4032285,Friction eczema,238472003
4033052,Eczematous drug eruption,238990009
4033671,Photosensitive atopic dermatitis,238547001
4033672,Constitutional eczema of hands and feet,238549003
4033673,Acute cheiropodopompholyx,238550003
4033769,Apron pattern of vesicular eczema of hands,238554007
4033770,Constitutional fingertip eczema,238558005
4033779,Papular eczema with elimination of papillary edema,238593003
4033780,Senile xeroderma,238597002
4033781,Site-specific eczema,238598007
4033945,Seborrheic eczema-like eruption,238991008
4046989,Dry eczema,135841008
4047214,Exacerbation of eczema,135843006
4047503,Crusted eczema,123701000
4047504,Excoriated eczema,123703002
4048079,Pustular eczema,123700004
4048659,Exudative eczema,123699000
4048660,Lichenified eczema,123704008
4049417,Vesicular eczema,123698008
4063930,Parakeratosis,200766001
4066382,Atopic neurodermatitis,200775004
4066727,Besnier's prurigo,200773006
4067178,Podopompholyx,201201000
4075236,Occupational eczema,225055005
4077063,O/E - pompholyx,275889007
4077371,Varicose veins of the leg with eczema,275700003
4080926,Constitutional eczema,238540004
4080927,Erythrodermic atopic dermatitis,238544008
4080928,Follicular atopic dermatitis,238545009
4080929,Pruriginous atopic dermatitis,238546005
4080930,Hyperkeratotic fissured hand eczema,238555008
4080931,Constitutional discoid hand eczema,238557000
4080932,Acute podopompholyx,238560007
