concept_id,condition_concept_name,ns,nephritis
192362,Nephrotic syndrome with membranoproliferative glomerulonephritis,0,1
193253,Nephritis,0,1
196464,Rapidly progressive glomerulonephritis,0,1
259070,Acute proliferative glomerulonephritis,0,1
312358,Chronic glomerulonephritis,0,1
433257,Mesangiocapillary glomerulonephritis,0,1
435003,Acute nephritis with lesions of necrotizing glomerulitis,0,1
435308,Acute glomerulonephritis,0,1
435320,Acute glomerulonephritis associated with another disorder,0,1
442074,Focal membranoproliferative glomerulonephritis,0,1
442075,Chronic glomerulonephritis associated with another disorder,0,1
442076,Chronic rapidly progressive glomerulonephritis,0,1
4027120,"Nephrotic syndrome, diffuse mesangiocapillary glomerulonephritis",0,1
4056478,Chronic nephritic syndrome,0,1
4058843,"Nephrotic syndrome, diffuse crescentic glomerulonephritis",0,1
4125958,Post-infectious glomerulonephritis,0,1
4161421,Hereditary nephritis,0,1
4222610,Focal AND segmental proliferative glomerulonephritis,0,1
4241966,"Mesangiocapillary glomerulonephritis, type II",0,1
4263367,Glomerulonephritis,0,1
4286024,Acute post-streptococcal glomerulonephritis,0,1
4294813,"Mesangiocapillary glomerulonephritis, type I",0,1
4298809,Nephritic syndrome,0,1
