Concept Set ID,Name,Concept ID,Concept Code,Concept Name,Concept Class ID,Domain,Vocabulary
374,Cardiac Disorders,36713638,718556007,3C syndrome,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,36527483,9737/3-C38.0,ALK positive large B-cell lymphoma of heart,ICDO Condition,Condition,ICDO3
374,Cardiac Disorders,4088502,251163000,AV junctional (nodal) arrest,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4088503,251165007,AV junctional (nodal) tachycardia,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4038688,11849007,AV junctional rhythm,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4089459,251166008,AV nodal re-entry tachycardia,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4228836,88412007,AV node arrhythmia,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4088983,251162005,AV-junctional (nodal) bradycardia,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4108748,253679008,Abdominal aortic coarctation,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4032476,14886009,Abdominal heart,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4109485,253716004,Aberrant course of left anterior descending coronary artery from right coronary artery crossing right ventricular outflow tract,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40488004,448096002,Aberrant origin of left subclavian artery,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4091901,251167004,Aberrant premature complexes,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4209546,311808009,Aberrant retro-esophageal subclavian artery causing dysphagia,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4109473,253667008,Aberrant retroesophageal brachiocephalic artery,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4092011,251183004,Aberrantly conducted complex,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40493209,445898001,Abnormal atrial arrangement,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101005,253274005,Abnormal atrioventricular connection,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101006,253275006,Abnormal atrioventricular connection - biventricular,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4101007,253280002,Abnormal atrioventricular connection - univentricular,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40487182,449455000,Abnormal attachment of tricuspid chordae tendinae,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4240785,91841003,Abnormal communication between pericardial sac and peritoneal cavity,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4100865,253333008,Abnormal connection of hepatic vein to atrium,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,4113301,253714001,Abnormal coronary artery course,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40488005,448097006,Abnormal course of aortic arch,Clinical Finding,Condition,SNOMED
374,Cardiac Disorders,40491454,448721009,Abnormal course of aortic arch and descending aorta,Clinical Finding,Condition,SNOMED
