concept_id,concept_name,vocabulary_id
36712668,Perinatal depression,SNOMED
37016718,Acute depression,SNOMED
433440,Dysthymia,SNOMED
4093584,"Major depressive disorder, single episode with postpartum onset",SNOMED
4287238,"Major depressive disorder, single episode with catatonic features",SNOMED
4049623,"Moderate major depression, single episode",SNOMED
4308866,Agitated depression,SNOMED
433991,Recurrent major depression in remission,SNOMED
4270907,"Major depressive disorder, single episode with melancholic features",SNOMED
4025677,Single episode of major depression in full remission,SNOMED
36713698,Minimal depression,SNOMED
4226155,Recurrent brief depressive disorder,SNOMED
44794371,[X]Severe depressive episode with psychotic symptoms,SNOMED
4129184,Severe postnatal depression,SNOMED
436386,Severe depressed bipolar I disorder with psychotic features,SNOMED
4323418,"Major depression single episode, in partial remission",SNOMED
4034842,"Severe recurrent major depression with psychotic features, mood-incongruent",SNOMED
4149321,Severe depression,SNOMED
37109052,Mild major depressive disorder co-occurrent with anxiety single episode,SNOMED
4038252,O/E - depressed,SNOMED
432285,Recurrent major depressive episodes,SNOMED
4168858,Endogenous depression - recurrent,SNOMED
4305966,Postoperative depression,SNOMED
4031328,"Chronic major depressive disorder, single episode",SNOMED
44799035,[X] Single episode agitated depression without psychotic symptoms,SNOMED
4150047,Secondary dysthymia early onset,SNOMED
4220023,Recurrent major depressive disorder with catatonic features,SNOMED
4263748,Recurrent major depression in full remission,SNOMED
44782720,Severe seasonal affective disorder,SNOMED
4149320,Mild depression,SNOMED
44805542,"Recurrent major depressive episodes, severe",SNOMED
4307951,Primary dysthymia,SNOMED
4174987,Minor depressive disorder,SNOMED
42538584,Mood disorder with depressive symptoms caused by opioid,SNOMED
42872411,"Severe major depression, single episode",SNOMED
44813499,"Recurrent major depressive episodes, in remission",SNOMED
44805668,"[X]Single major depressive episode, severe, with psychosis, psychosis in remission",SNOMED
4001733,"Chronic bipolar II disorder, most recent episode major depressive",SNOMED
4243308,Primary dysthymia early onset,SNOMED
4333679,Endogenous depression first episode,SNOMED
37110428,Mood disorder with depressive symptoms caused by hypnotic,SNOMED
439243,"Bipolar affective disorder, currently depressed, severe, with psychosis",SNOMED
4145216,Premenstrual dysphoric disorder in remission,SNOMED
4299785,"Severe major depression, single episode, with psychotic features, mood-congruent",SNOMED
4280361,Moderate depressed bipolar I disorder,SNOMED
44782943,Depressive disorder in remission,SNOMED
4092239,Seasonal affective disorder,SNOMED
437250,Mild depressed bipolar I disorder,SNOMED
42538596,Mood disorder with depressive symptoms caused by hallucinogen,SNOMED
42538599,Mood disorder with depressive symptoms caused by volatile inhalant,SNOMED
4223090,Menopausal depression,SNOMED
4181807,"Major depressive disorder, single episode with atypical features",SNOMED
4242733,Premenstrual dysphoric disorder,SNOMED
4096229,Early onset dysthymia,SNOMED
4057218,Late onset dysthymia,SNOMED
435220,Severe recurrent major depression without psychotic features,SNOMED
4192865,"Bipolar I disorder, most recent episode depressed with melancholic features",SNOMED
4205471,Recurrent major depressive disorder with melancholic features,SNOMED
36715000,Minimal major depression,SNOMED
439259,"Single major depressive episode, severe, with psychosis",SNOMED
4103574,Chronic depression,SNOMED
4141292,"Severe recurrent major depression with psychotic features, mood-congruent",SNOMED
4182998,"Severe depressed bipolar I disorder with psychotic features, mood-congruent",SNOMED
438406,"Severe major depression, single episode, with psychotic features",SNOMED
42538601,Mood disorder with depressive symptoms caused by ecstasy type drug,SNOMED
44800606,[X]Moderate depressive episode,SNOMED
438727,Atypical depressive disorder,SNOMED
44795104,[X] Single episode major depression without psychotic symptoms,SNOMED
4336980,Generalized neuromuscular exhaustion syndrome,SNOMED
4133073,Maternity blues,SNOMED
42872413,Severe depressed bipolar I disorder,SNOMED
4282096,"Major depression, single episode",SNOMED
42538604,Mood disorder with depressive symptoms caused by dissociative drug,SNOMED
45757196,Major depressive disorder in mother complicating pregnancy,SNOMED
435225,Depressed bipolar I disorder in full remission,SNOMED
4154805,Involutional depression,SNOMED
4154391,"Major depression, melancholic type",SNOMED
44794370,[X]Severe depressive episode without psychotic symptoms,SNOMED
4144519,"Bipolar II disorder, most recent episode major depressive with melancholic features",SNOMED
36714997,Minimal recurrent major depression,SNOMED
442570,Severe depressed bipolar I disorder without psychotic features,SNOMED
44805669,"[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",SNOMED
44797421,[X]Mild depressive episode,SNOMED
4195572,"Mild major depression, single episode",SNOMED
37117211,Mood disorder with depressive symptoms caused by sedative,SNOMED
4304140,Recurrent major depressive disorder with atypical features,SNOMED
4197222,Stuporous depression,SNOMED
4148934,"Bipolar II disorder, most recent episode major depressive with postpartum onset",SNOMED
439254,"Bipolar affective disorder, current episode depression",SNOMED
4148630,Major depression in partial remission,SNOMED
4037669,"Bipolar II disorder, most recent episode major depressive",SNOMED
4330846,"Bipolar II disorder, most recent episode major depressive with catatonic features",SNOMED
4152280,Major depressive disorder,SNOMED
4327337,Severe major depression without psychotic features,SNOMED
438998,"Recurrent major depressive episodes, mild",SNOMED
42538590,Mood disorder with depressive symptoms caused by stimulant,SNOMED
440075,"Recurrent major depressive episodes, in full remission",SNOMED
4307111,Moderate major depression,SNOMED
45757213,Depressive disorder in mother complicating childbirth,SNOMED
439253,"Bipolar affective disorder, currently depressed, mild",SNOMED
44806193,Antenatal depression,SNOMED
4185096,"Bipolar II disorder, most recent episode major depressive with atypical features",SNOMED
434911,"Recurrent major depressive episodes, severe, with psychosis",SNOMED
40481798,Chronic depressive personality disorder,SNOMED
4176002,Major depression in remission,SNOMED
4243822,"Severe major depression with psychotic features, mood-incongruent",SNOMED
42534817,Postpartum major depression in remission,SNOMED
435520,Reactive depressive psychosis,SNOMED
4094507,"Severe depressed bipolar I disorder with psychotic features, mood-incongruent",SNOMED
4197669,"Chronic bipolar I disorder, most recent episode depressed",SNOMED
43531624,Severe recurrent major depression,SNOMED
36714389,Moderately severe major depression,SNOMED
4269493,Major depression in full remission,SNOMED
4098302,Recurrent depression,SNOMED
37110438,Mood disorder with depressive symptoms caused by cocaine,SNOMED
4239471,Postpartum depression,SNOMED
37018656,Depressive disorder in mother complicating pregnancy,SNOMED
37109054,Severe major depressive disorder co-occurrent with anxiety single episode,SNOMED
36717389,Moderately severe major depression single episode,SNOMED
4103126,Drug-induced depressive state,SNOMED
4154309,Severe recurrent major depression with psychotic features,SNOMED
4077577,Moderate recurrent major depression,SNOMED
36714999,Minimal major depression single episode,SNOMED
37109053,Moderate major depressive disorder co-occurrent with anxiety single episode,SNOMED
4314692,Reactive depression,SNOMED
37109952,Mood disorder with mixed manic and depressive symptoms caused by alcohol,SNOMED
4151170,Moderate depression,SNOMED
4201739,Depressed bipolar I disorder in remission,SNOMED
44805549,"Recurrent major depressive episodes, in partial remission",SNOMED
4332994,Post-schizophrenic depression,SNOMED
4114950,Endogenous depression,SNOMED
4228802,Mild recurrent major depression,SNOMED
4338029,Masked depression,SNOMED
42538736,Mood disorder with depressive symptoms caused by synthetic cathinone,SNOMED
37109950,Mood disorder with depressive symptoms caused by alcohol,SNOMED
4177651,Depressed bipolar I disorder in partial remission,SNOMED
4129842,Mild postnatal depression,SNOMED
4144233,"Severe major depression with psychotic features, mood-congruent",SNOMED
4141454,Recurrent major depression in partial remission,SNOMED
432883,"Recurrent major depressive episodes, moderate",SNOMED
441836,Depressed bipolar I disorder,SNOMED
441534,"Severe major depression, single episode, without psychotic features",SNOMED
4336957,Mild major depression,SNOMED
42872722,Severe major depression,SNOMED
4094358,Chronic recurrent major depressive disorder,SNOMED
4263770,Secondary dysthymia late onset,SNOMED
37111697,Major depression with psychotic features,SNOMED
37110429,Mood disorder with depressive symptoms caused by anxiolytic,SNOMED
4324959,Recurrent major depressive disorder with postpartum onset,SNOMED
4102973,Postviral depression,SNOMED
4224639,Secondary dysthymia,SNOMED
4250023,Severe major depression with psychotic features,SNOMED
4233990,Cotard's syndrome,SNOMED
36717092,Moderately severe depression,SNOMED
437528,"Bipolar affective disorder, currently depressed, moderate",SNOMED
439251,"Bipolar affective disorder, currently depressed, in full remission",SNOMED
4333687,Depressive conduct disorder,SNOMED
36714998,Moderately severe recurrent major depression,SNOMED
4067409,"Severe major depression, single episode, with psychotic features, mood-incongruent",SNOMED
45757195,Major depressive disorder in mother complicating childbirth,SNOMED
4195680,Primary dysthymia late onset,SNOMED
4224940,"Schizoaffective disorder, depressive type",SNOMED
44801154,"[X] Manic-depressive psychosis, depressed type without psychotic symptoms",SNOMED
4282316,Recurrent major depression,SNOMED
4107538,"Bipolar I disorder, most recent episode depressed with atypical features",SNOMED
440383,Depressive disorder,SNOMED
43020483,"Reactive depressive psychosis, single episode",SNOMED
