concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
45596216,"Cerebral infarction, unspecified",Condition,ICD10,ICD10 code,NA,I63.9,5/1/90,12/31/99,NA
35207821,"Cerebral infarction, unspecified",Condition,ICD10CM,4-char billing code,NA,I63.9,1/1/07,12/31/99,NA
4219010,"Juvenile myopathy, encephalopathy, lactic acidosis AND stroke",Condition,SNOMED,Clinical Finding,S,39925003,1/31/02,12/31/99,NA
4111710,Brainstem stroke syndrome,Condition,SNOMED,Clinical Finding,S,195212005,1/31/02,12/31/99,NA
40480273,Superior cerebellar artery syndrome,Condition,SNOMED,Clinical Finding,S,444657001,7/31/10,12/31/99,NA
42535114,Cerebrovascular accident due to thrombus of left middle cerebral artery,Condition,SNOMED,Clinical Finding,S,1.60021E+16,1/31/18,12/31/99,NA
42535146,Cerebrovascular accident due to occlusion of left pontine artery,Condition,SNOMED,Clinical Finding,S,1.6024E+16,1/31/18,12/31/99,NA
37110678,Cerebral ischemic stroke due to occlusion of extracranial large artery,Condition,SNOMED,Clinical Finding,S,724993002,7/31/17,12/31/99,NA
602590,Cerebrovascular accident of basal ganglia,Condition,SNOMED,Clinical Finding,S,5.959E+17,1/31/21,12/31/99,NA
762351,Ruptured acquired aneurysm of cerebral artery,Condition,SNOMED,Clinical Finding,S,3.30111E+14,9/1/17,12/31/99,NA
619830,Cerebrovascular accident due to embolism of basilar artery,Condition,SNOMED,Clinical Finding,S,9.15142E+17,1/31/21,12/31/99,NA
443864,Multi-infarct dementia with depression,Condition,SNOMED,Clinical Finding,S,14070001,1/31/02,12/31/99,NA
608742,Cerebrovascular accident due to embolism of bilateral carotid arteries,Condition,SNOMED,Clinical Finding,S,1.52149E+17,7/31/21,12/31/99,NA
4099974,Completed stroke,Condition,SNOMED,Clinical Finding,S,25133001,1/31/02,12/31/99,NA
4078314,Foville syndrome,Condition,SNOMED,Clinical Finding,S,276220007,1/31/02,12/31/99,NA
37312016,Cerebral ischemic stroke due to aortic arch embolism,Condition,SNOMED,Clinical Finding,S,788881005,1/31/20,12/31/99,NA
42535111,Cerebrovascular accident due to occlusion of right middle cerebral artery,Condition,SNOMED,Clinical Finding,S,1.60004E+16,1/31/18,12/31/99,NA
42539262,Cerebrovascular accident due to occlusion of left carotid artery,Condition,SNOMED,Clinical Finding,S,1.60241E+16,1/31/18,12/31/99,NA
4045734,CVA - cerebrovascular accident due to cerebral artery occlusion,Condition,SNOMED,Clinical Finding,S,230691006,1/31/02,12/31/99,NA
609188,Cerebrovascular accident due to embolism of bilateral posterior cerebral arteries,Condition,SNOMED,Clinical Finding,S,1.68748E+17,7/31/21,12/31/99,NA
764707,Ruptured aneurysm of intracranial artery,Condition,SNOMED,Clinical Finding,S,5.471E+12,3/1/12,12/31/99,NA
42535148,Cerebrovascular accident due to occlusion of left cerebellar artery,Condition,SNOMED,Clinical Finding,S,1.60242E+16,1/31/18,12/31/99,NA
36684840,Acute stroke,Condition,SNOMED,Clinical Finding,S,4.57551E+14,9/1/18,12/31/99,NA
618686,Cerebrovascular accident due to thrombosis of left posterior cerebral artery,Condition,SNOMED,Clinical Finding,S,8.51366E+17,7/31/21,12/31/99,NA
42535113,Cerebrovascular accident due to thrombus of right middle cerebral artery,Condition,SNOMED,Clinical Finding,S,1.6002E+16,1/31/18,12/31/99,NA
4045748,Posterior circulation stroke of uncertain pathology,Condition,SNOMED,Clinical Finding,S,230715005,1/31/02,12/31/99,NA
4301259,Posterior inferior cerebellar artery syndrome,Condition,SNOMED,Clinical Finding,S,78569004,1/31/02,12/31/99,NA
604171,Cerebrovascular accident due to thrombosis of right cerebellar artery,Condition,SNOMED,Clinical Finding,S,4.9637E+17,7/31/21,12/31/99,NA
35609033,Haemorrhagic stroke,Condition,SNOMED,Clinical Finding,S,1.078E+15,10/1/17,12/31/99,NA
42539195,Cerebrovascular accident due to occlusion of left posterior cerebral artery,Condition,SNOMED,Clinical Finding,S,1.60004E+16,1/31/18,12/31/99,NA
763094,Anterior inferior cerebellar artery occlusion with infarction,Condition,SNOMED,Clinical Finding,S,4.36031E+14,9/1/13,12/31/99,NA
609245,Cerebrovascular accident due to occlusion of bilateral middle cerebral arteries,Condition,SNOMED,Clinical Finding,S,1.88175E+17,7/31/21,12/31/99,NA
381316,Cerebrovascular accident,Condition,SNOMED,Clinical Finding,S,230690007,1/31/02,12/31/99,NA
618658,Cerebrovascular accident due to occlusion of bilateral anterior cerebral arteries,Condition,SNOMED,Clinical Finding,S,7.20262E+17,7/31/21,12/31/99,NA
444091,Multi-infarct dementia with delirium,Condition,SNOMED,Clinical Finding,S,10349009,1/31/02,12/31/99,NA
377254,"Multi-infarct dementia, uncomplicated",Condition,SNOMED,Clinical Finding,S,70936005,1/31/02,12/31/99,NA
619944,Cerebrovascular accident due to thrombosis of left cerebellar artery,Condition,SNOMED,Clinical Finding,S,9.5732E+17,7/31/21,12/31/99,NA
37395574,Cerebrovascular accident due to right carotid artery occlusion,Condition,SNOMED,Clinical Finding,S,1.60239E+16,7/31/16,12/31/99,NA
618628,Cerebrovascular accident due to embolism of left vertebral artery,Condition,SNOMED,Clinical Finding,S,5.17253E+17,7/31/21,12/31/99,NA
618640,Cerebrovascular accident of brainstem,Condition,SNOMED,Clinical Finding,S,6.52287E+17,1/31/21,12/31/99,NA
619046,Cerebrovascular accident of medulla oblongata,Condition,SNOMED,Clinical Finding,S,8.81695E+17,1/31/21,12/31/99,NA
42535512,Cerebrovascular accident due to thrombus of right carotid artery,Condition,SNOMED,Clinical Finding,S,3.29651E+14,1/31/18,12/31/99,NA
37395576,Cerebrovascular accident due to left carotid artery stenosis,Condition,SNOMED,Clinical Finding,S,1.6027E+16,7/31/16,12/31/99,NA
4023571,Paralytic stroke,Condition,SNOMED,Clinical Finding,S,116288000,1/31/02,12/31/99,NA
