concept_id,concept_name,concept_code,vocabulary_id,syndromic,systemic,condition_category
1568023,Obesity due to excess calories,E66.0,ICD10CM,1,0,gastrointestinal
45581372,Obesity due to excess calories,E66.0,ICD10,1,0,gastrointestinal
45600659,Morbid (severe) obesity due to excess calories,E66.01,ICD10CM,1,0,gastrointestinal
45591051,Other obesity due to excess calories,E66.09,ICD10CM,1,0,gastrointestinal
45581373,Extreme obesity with alveolar hypoventilation,E66.2,ICD10,1,0,gastrointestinal
35207022,Morbid (severe) obesity with alveolar hypoventilation,E66.2,ICD10CM,1,0,gastrointestinal
45586164,Overweight,E66.3,ICD10CM,1,0,gastrointestinal
35207023,Other obesity,E66.8,ICD10CM,1,0,gastrointestinal
45533036,Other obesity,E66.8,ICD10,1,0,gastrointestinal
35207024,"Obesity, unspecified",E66.9,ICD10CM,1,0,gastrointestinal
45576460,"Obesity, unspecified",E66.9,ICD10,1,0,gastrointestinal
45544155,Abnormal weight gain,R63.5,ICD10,1,0,gastrointestinal
35211410,Abnormal weight gain,R63.5,ICD10CM,1,0,gastrointestinal
