concept_code,concept_id,vocabulary_id,concept_name
414920002,4189665,SM,Obesity by fat distribution pattern
293481008,4163032,SM,Hyperplastic-hypertrophic obesity
5036006,4177337,SM,Hypogonadal obesity
295509007,4171147,SM,Hypertrophic obesity
298464002,4183240,SM,Obesity of endocrine origin
238136002,434005,SM,Morbid obesity
414438005,4185912,SM,Hyperplastic obesity
248311001,4087487,SM,Central obesity
414918000,4189664,SM,Obesity by age of onset
238134004,4029276,SM,Generalized obesity
719809005,36714527,SM,X-linked intellectual disability with precocious puberty and obesity syndrome
297500005,4182506,SM,Endogenous obesity
722053001,36716151,SM,Obesity due to prohormone convertase I deficiency
722037004,36716144,SM,MEHMO syndrome
414916001,433736,SM,Obesity
292464007,4097929,SM,Constitutional obesity
82793005,4220527,SM,Hypothalamic obesity
294493008,4171317,SM,Lifelong obesity
238133005,4029900,SM,Gynecoid obesity
415530009,4217557,SM,Simple obesity
111036000,4005991,SM,Hyperinsulinar obesity
414917005,4212443,SM,Obesity by adipocyte growth pattern
248312008,4093860,SM,Peripheral obesity
190966007,4100857,SM,Extreme obesity with alveolar hypoventilation
722596001,36716555,SM,Obesity caused by energy imbalance
53146006,4203289,SM,Hypothyroid obesity
62999006,4271317,SM,Adiposogenital dystrophy
717269008,37397209,SM,Obesity due to melanocortin 4 receptor deficiency
190965006,4097996,SM,Drug-induced obesity
414919008,4215969,SM,Obesity by contributing factors
360566006,4235799,SM,Buffalo obesity
83911000119104,37018860,SM,Severe obesity
238132000,4079899,SM,Android obesity
444862003,40481140,SM,Childhood obesity
450451007,42872460,SM,Overweight in childhood
162863004,4060705,SM,Body mass index 25-29 - overweight
275947003,4175214,SM,O/E - overweight
268916007,4146858,SM,O/E - weight greater than 20% over ideal
162690006,4037679,SM,O/E - obese
268915006,4150937,SM,O/E - weight 10-20% over ideal
238131007,437525,SM,Overweight
408512008,4256640,SM,Body mass index 40+ - severely obese
443371000124107,763588,SM,Obese class I
443381000124105,763589,SM,Obese class II
162864005,4060985,SM,Body mass index 30+ - obesity
414915002,4215968,SM,Obese
914741000000103,44811757,SM,Obese class III
914721000000105,44811711,SM,Obese class I
914731000000107,44811712,SM,Obese class II
278,44824092,09,"Overweight, obesity and other hyperalimentation"
278.0,44834569,09,Overweight and obesity
278.00,44833387,09,"Obesity, unspecified"
278.01,44831059,09,Morbid obesity
278.02,44821800,09,Overweight
278.03,44822953,09,Obesity hypoventilation syndrome
E66,1568022,10,Overweight and obesity
E66.0,1568023,10,Obesity due to excess calories
E66.01,45600659,10,Morbid (severe) obesity due to excess calories
E66.09,45591051,10,Other obesity due to excess calories
E66.1,35207021,10,Drug-induced obesity
E66.2,35207022,10,Morbid (severe) obesity with alveolar hypoventilation
E66.3,45586164,10,Overweight
E66.8,35207023,10,Other obesity
E66.9,35207024,10,"Obesity, unspecified"
V85.2,44829684,09,"Body Mass Index between 25-29, adult"
V85.21,44837875,09,"Body Mass Index 25.0-25.9, adult"
V85.22,44836721,09,"Body Mass Index 26.0-26.9, adult"
V85.23,44836722,09,"Body Mass Index 27.0-27.9, adult"
V85.24,44825073,09,"Body Mass Index 28.0-28.9, adult"
